symptom,disease,doctor
"High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Cough, Vomiting, Loss of appetite, Body aches, Feverish",Roseola,General Physician
"Fever, Vomiting, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Body aches, Chills, Feverish",Roseola,General Physician
"Fever, Nausea, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Sores in mouth, Irritability, Red spots, Blisters, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Dehydration, Chills, Body aches, Rashes",Norovirus Infection,General Physician
"Vomiting, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Chills, Body aches, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Headache, Red eyes, Diarrhea, Loss of appetite, Rashes, Chills",Roseola,General Physician
"Abdominal pain or cramps, Bloody stools, Stomach cramps, Headache, Fatigue, Muscle aches, Body aches, Feverish, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Rash, Irritability, Swollen lymph nodes, Sore throat, Diarrhea, Loss of appetite, Rashes, Chills",Roseola,General Physician
"Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Rashes, Fever",Norovirus Infection,General Physician
"Low-grade fever, Nausea, Headache, Dehydration, Sweating, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Runny nose, Rash, Irritability, Fatigue, Headache, Cough, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish",Roseola,General Physician
"Runny nose, Rash, Irritability, Fatigue, Sore throat, Headache, Cough, Vomiting, Body aches, Rashes",Roseola,General Physician
"Abdominal pain or cramps, Nausea, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Sneezing, Watering eyes, Mild hacking cough, Achy muscles and bones",Common Cold,General Physician
"Vomiting, Stomach cramps, Nausea, Abdominal pain, Loss of appetite, Dehydration, Body aches",Norovirus Infection,General Physician
"Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Chills, Sweating, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Fatigue, Abdominal pain, Chills, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Loss of appetite, Sore throat, Fatigue, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"High fever, Runny nose, Irritability, Swollen lymph nodes, Sore throat, Headache, Red eyes, Diarrhea, Loss of appetite",Roseola,General Physician
"Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Fever",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Dehydration, Chills, Sweating, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Fatigue, Body aches, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Fatigue, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Runny nose, Irritability, Fatigue, Sore throat, Cough, Red eyes, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Runny nose, Rash, Fatigue, Swollen lymph nodes, Cough, Red eyes, Abdominal pain, Body aches, Feverish",Roseola,General Physician
"Nausea, Bloody stools, Headache, Muscle aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Fatigue, Loss of appetite, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish",Roseola,General Physician
"High fever, Runny nose, Rash, Irritability, Sore throat, Red eyes, Diarrhea, Vomiting, Loss of appetite, Chills, Feverish",Roseola,General Physician
"Tickling sensation in hair, Sores from scratching, Difficulty sleeping, Itching on the scalp, neck, and ears, Sores on the scalp",Head Lice Infestation,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Dehydration, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Rash on hands and feet, Mouth sores, Cough, Headache, General discomfort, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"High fever, Runny nose, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Vomiting, Feverish",Roseola,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Muscle aches, Body aches",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Chills, Sweating, Rashes",Norovirus Infection,General Physician
"Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Muscle aches",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Diarrhea, Vomiting, Body aches, Rashes, Feverish",Roseola,General Physician
"High fever, Irritability, Swollen lymph nodes, Headache, Abdominal pain, Rashes, Feverish",Roseola,General Physician
"High fever, Runny nose, Rash, Fatigue, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"High fever, Runny nose, Fatigue, Sore throat, Red eyes, Abdominal pain, Body aches, Rashes",Roseola,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"Runny nose, Rash, Swollen lymph nodes, Sore throat, Headache, Red eyes",Roseola,General Physician
"Swollen glands, Fever, Sore throat, Red rash on the body, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Headache and body aches",Scarlet Fever,General Physician
"Runny nose, Fatigue, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches",Roseola,General Physician
"High fever, Rash, Irritability, Headache, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"High fever, Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Cough, Loss of appetite, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Abdominal pain or cramps, Bloody stools, Stomach cramps, Fatigue, Dehydration, Muscle aches, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Rash on hands and feet, Loss of appetite, Irritability, Sore muscles, Headache, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Blisters, Fatigue, Cough, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Cough, Diarrhea, Vomiting, Abdominal pain, Body aches, Chills",Roseola,General Physician
"Vomiting, Stomach cramps, Muscle aches, Nausea, Dehydration, Sweating, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Body aches, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Nausea, Vomiting, Bloody stools, Headache, Loss of appetite, Body aches, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Irritability, Fatigue, Headache, Red eyes, Vomiting, Loss of appetite, Rashes",Roseola,General Physician
"Stomach cramps, Low-grade fever, Nausea, Headache, Abdominal pain, Rashes, Irritability",Norovirus Infection,General Physician
"High fever, Rash, Irritability, Fatigue, Sore throat, Loss of appetite",Roseola,General Physician
"Runny nose, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite",Roseola,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Dehydration, Irritability",Norovirus Infection,General Physician
"Vomiting, Muscle aches, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, General discomfort, Fever",Norovirus Infection,General Physician
"Fever, Nausea, Vomiting, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Stomach cramps, Headache, Fatigue, Body aches, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Blisters, Yellow crust, Redness, Clustered sores, Discolored marks",Impetigo,General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Muscle aches, Body aches, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Loss of appetite, Feverish, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Swollen lymph nodes, Sore throat, Headache, Red eyes, Chills",Roseola,General Physician
"High fever, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Feverish",Roseola,General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Fatigue, Loss of appetite, Body aches, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Fatigue, Cough, Red eyes, Diarrhea, Abdominal pain, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Loss of appetite, Dehydration, Body aches, Rashes",Norovirus Infection,General Physician
"Bloody stools, Headache, Dehydration, Muscle aches, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Irritability, Fatigue, Swollen lymph nodes, Loss of appetite, Abdominal pain",Roseola,General Physician
"Fever, Nausea, Bloody stools, Stomach cramps, Headache, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Dehydration, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Diarrhea, Nausea, Stomach cramps, Headache, Fatigue, Dehydration",Shigellosis (Bacillary Dysentery),General Physician
"Sore throat, Red rash on the body, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Headache and body aches",Scarlet Fever,General Physician
"High fever, Runny nose, Rash, Irritability, Fatigue, Red eyes, Loss of appetite, Body aches, Chills, Feverish",Roseola,General Physician
"Nausea, Loss of appetite, Chills, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Fatigue, Loss of appetite, Sweating, General discomfort, Irritability",Norovirus Infection,General Physician
"High fever, Irritability, Headache, Red eyes, Vomiting, Loss of appetite, Rashes",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Dehydration, Chills, Body aches, Fever",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Nausea, Loss of appetite, Chills, Body aches, Irritability",Norovirus Infection,General Physician
"Diarrhea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Fatigue, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Low-grade fever, Muscle aches, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Vomiting, Loss of appetite, Abdominal pain, Body aches",Roseola,General Physician
"High fever, Runny nose, Rash, Sore throat, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish",Roseola,General Physician
"High fever, Irritability, Swollen lymph nodes, Red eyes, Loss of appetite, Body aches",Roseola,General Physician
"Abdominal pain or cramps, Vomiting, Fatigue, Loss of appetite, Muscle aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Nausea, Headache, Fatigue, Dehydration, Loss of appetite, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish",Roseola,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Nausea, Fatigue, Abdominal pain, Loss of appetite, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Nausea, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Fever",Norovirus Infection,General Physician
"Sore throat, Red spots, Blisters, Cough, General discomfort, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Fever, Vomiting, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Dehydration, Body aches, General discomfort",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Dehydration, Rashes, General discomfort",Norovirus Infection,General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Body aches, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Dehydration, Sweating, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Headache, Abdominal pain, Dehydration, Sweating, Rashes",Norovirus Infection,General Physician
"Abdominal pain or cramps, Nausea, Loss of appetite, Body aches, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Rashes, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"Sore throat, Mouth sores, Fatigue, Sore muscles, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Muscle aches, Headache, Fatigue, Chills, General discomfort, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Irritability, Sore throat, Blisters, Fatigue, Cough, Sore muscles, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Loss of appetite, Body aches, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Nausea, Fatigue, Chills, Sweating, Body aches, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Stomach cramps, Nausea, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Rashes, General discomfort",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Dehydration, Sweating, Fever, Irritability",Norovirus Infection,General Physician
"High fever, Rash, Swollen lymph nodes, Sore throat, Headache, Cough, Abdominal pain, Body aches, Rashes",Roseola,General Physician
"High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Diarrhea, Abdominal pain, Body aches, Feverish",Roseola,General Physician
"High fever, Runny nose, Fatigue, Sore throat, Headache, Cough, Rashes",Roseola,General Physician
"Abdominal pain or cramps, Diarrhea, Headache, Fatigue, Dehydration, Body aches, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Nausea, Vomiting, Dehydration, Loss of appetite, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Vomiting, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Vomiting, Abdominal pain, Rashes",Roseola,General Physician
"Diarrhea, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Headache, Fatigue, Chills, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Nausea, Vomiting, Headache, Fatigue, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Headache, Muscle aches, Body aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Dehydration, Muscle aches, Body aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Fever, Nausea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Nausea, Rashes, Fever",Norovirus Infection,General Physician
"Abdominal pain, Dehydration, Chills, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Stomach cramps, Muscle aches, Headache, Abdominal pain, Dehydration, Chills, Sweating, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"Abdominal pain or cramps, Vomiting, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Rash, Irritability, Red eyes, Vomiting, Body aches, Rashes, Chills",Roseola,General Physician
"High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Loss of appetite, Abdominal pain, Rashes",Roseola,General Physician
"Redness in the white of the eye (sclera) or inner eyelid, Eye discharge (yellowish, greenish, or white; may cause crusting), Dry or watery eyes (epiphora), Blurred vision (intermittent), Light sensitivity (photophobia), Swollen eyelids (blepharitis), Mild eye pain or discomfort",Conjunctivitis (Pink Eye),General Physician
"Abdominal pain or cramps, Vomiting, Stomach cramps, Headache, Loss of appetite, Body aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Sores in mouth, Sore throat, Mouth sores, Sore muscles, General discomfort","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Fever, Irritability",Norovirus Infection,General Physician
"Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Abdominal pain, Dehydration, Chills, Irritability",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Fever, Diarrhea, Headache, Loss of appetite, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Rash, Irritability, Headache, Vomiting, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"High fever, Rash, Headache, Red eyes, Diarrhea, Vomiting, Rashes",Roseola,General Physician
"Rash, Fatigue, Red eyes, Abdominal pain, Body aches, Chills, Feverish",Roseola,General Physician
"Cough, Runny nose, Headache, Generally feeling unwell (malaise)",Rubella,General Physician
"Diarrhea, Low-grade fever, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"High fever, Rash, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Body aches, Chills, Feverish",Roseola,General Physician
"Diarrhea, Stomach cramps, Muscle aches, Nausea, Headache, Dehydration, Chills, Body aches",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Loss of appetite, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Body aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Stomach cramps, Headache, Fatigue, Abdominal pain, Dehydration, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Blisters, Fatigue, Headache, General discomfort, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"High fever, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches, Feverish",Roseola,General Physician
"Stomach cramps, Loss of appetite, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Dehydration, Loss of appetite",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Stomach cramps, Dehydration, Muscle aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Headache, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Chills",Roseola,General Physician
"Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Blisters, Cough, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Headache, Chills, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Body aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Low-grade fever, Abdominal pain, Chills, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Runny nose, Irritability, Fatigue, Swollen lymph nodes, Cough, Vomiting, Loss of appetite, Body aches",Roseola,General Physician
"Whooping cough, Sneezing, Fever, Sore, watery eyes, Cyanosis (blue lips, tongue, nailbeds), Sneezing, Severe coughing fits, Fatigue",Pertussis (Whooping Cough),General Physician
"Runny nose, Irritability, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Loss of appetite, Rashes",Roseola,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Sweating, Fever, Irritability",Norovirus Infection,General Physician
"Stomach cramps, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"Muscle aches, Tiredness, Loss of appetite, Testicle pain and tenderness, Fever, Tiredness, Loss of appetite",Mumps,General Physician
"Runny nose, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Loss of appetite, Body aches, Rashes, Chills",Roseola,General Physician
"Fever, Stomach cramps, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Body aches, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Chills, Body aches, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Rash, Swollen lymph nodes, Sore throat, Diarrhea, Vomiting, Abdominal pain, Body aches, Rashes, Feverish",Roseola,General Physician
"High fever, Rash, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Loss of appetite, Muscle aches, Feverish, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Stomach cramps, Low-grade fever, Dehydration, Sweating, Body aches, Rashes, General discomfort",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Abdominal pain, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Abdominal pain, Rashes",Roseola,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Nausea, Headache, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Body aches, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, General discomfort, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Loss of appetite, Red spots, Blisters, Fatigue, Cough, Headache, General discomfort, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Stomach cramps, Muscle aches, Nausea, Dehydration, Chills, Body aches, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Nausea, Fatigue, Loss of appetite, Body aches, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Rash on hands and feet, Sore throat, Red spots, Sore muscles, Headache, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Low-grade fever, Muscle aches, Fatigue, Chills, Body aches, Fever",Norovirus Infection,General Physician
"Vomiting, Bloody stools, Stomach cramps, Fatigue, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Swollen lymph nodes, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Feverish",Roseola,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Loss of appetite, Dehydration, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"High fever, Runny nose, Irritability, Swollen lymph nodes, Sore throat, Loss of appetite, Abdominal pain, Body aches, Rashes",Roseola,General Physician
"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Irritability",Norovirus Infection,General Physician
"Runny nose, Irritability, Fatigue, Abdominal pain, Chills",Roseola,General Physician
"Fever, Diarrhea, Vomiting, Stomach cramps, Fatigue, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Sweating, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Fatigue, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
