disease,symptom
Roseola,"High fever, Runny nose, Swollen lymph nodes, Cough, Red eyes, Vomiting, Abdominal pain, Rashes, Chills, Feverish"
Roseola,"High fever, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Chills"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Muscle aches, Body aches, Feverish, Rashes, Joint pain"
Shigellosis (Bacillary Dysentery),"Diarrhea, Vomiting, Loss of appetite, Muscle aches, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Stomach cramps, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Chills, Joint pain"
Roseola,"High fever, Rash, Red eyes, Vomiting, Body aches, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Headache, Fatigue, Dehydration, Loss of appetite, Feverish, Rashes, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Stomach cramps, Dehydration, Loss of appetite, Feverish, General discomfort, Joint pain"
Roseola,"High fever, Runny nose, Rash, Irritability, Fatigue, Cough, Vomiting, Abdominal pain, Rashes, Chills, Feverish"
Roseola,"Runny nose, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Cough, Vomiting, Abdominal pain, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Diarrhea, Stomach cramps, Headache, Fatigue, Body aches, Feverish, Rashes"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Feverish, Joint pain"
Shigellosis (Bacillary Dysentery),"Nausea, Bloody stools, Stomach cramps, Headache, Dehydration, Body aches, Rashes, General discomfort"
Roseola,"Runny nose, Rash, Irritability, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Feverish"
Roseola,"High fever, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Chills"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Fatigue, Sore muscles, Mild fever, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Feverish, Rashes, General discomfort, Chills"
"Hand, Foot, and Mouth Disease","Fever, Rash on hands and feet, Blisters, Fatigue, General discomfort, Mild fever"
Norovirus Infection,"Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Chills, Body aches, Irritability"
Norovirus Infection,"Vomiting, Muscle aches, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, General discomfort"
Roseola,"Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Rashes"
Roseola,"Rash, Irritability, Fatigue, Sore throat, Headache, Cough, Diarrhea, Vomiting, Abdominal pain, Feverish"
Fifth Disease (Erythema Infectiosum),"Rash on face, Runny or stuffy nose, Mild fever, Headache, Fever, Malaise, Myalgias, Vomiting"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Vomiting, Bloody stools, Rashes, General discomfort, Chills"
Norovirus Infection,"Diarrhea, Vomiting, Low-grade fever, Nausea, Abdominal pain, Body aches, Fever"
Roseola,"High fever, Runny nose, Irritability, Swollen lymph nodes, Diarrhea, Loss of appetite, Abdominal pain, Feverish"
Roseola,"High fever, Rash, Irritability, Sore throat, Cough, Red eyes, Diarrhea"
Roseola,"Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Chills"
Norovirus Infection,"Muscle aches, Nausea, Body aches, Rashes, Fever"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Bloody stools, Fatigue, Body aches, General discomfort, Chills, Joint pain"
Roseola,"High fever, Rash, Fatigue, Headache, Cough, Red eyes, Diarrhea, Vomiting, Chills, Feverish"
Norovirus Infection,"Diarrhea, Stomach cramps, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Body aches, General discomfort, Fever, Irritability"
Pertussis (Whooping Cough),"Sneezing, Fever, Cyanosis (blue lips, tongue, nailbeds), Sneezing, Runny nose, Severe coughing fits, Fatigue"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Headache, Muscle aches, Body aches, Feverish, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Bloody stools, Headache, Fatigue, Body aches, Rashes, Chills"
Roseola,"High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Rashes, Feverish"
Mumps,"Swollen, painful salivary glands, Fever, Tiredness, Loss of appetite, Trouble chewing, Loss of appetite"
Roseola,"Runny nose, Rash, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Vomiting, Loss of appetite"
Roseola,"High fever, Runny nose, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Rashes, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Muscle aches, Body aches, Chills"
Roseola,"High fever, Runny nose, Fatigue, Swollen lymph nodes, Cough, Red eyes, Body aches"
Norovirus Infection,"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, Body aches, Fever"
Roseola,"High fever, Sore throat, Cough, Red eyes, Loss of appetite, Body aches, Rashes, Chills"
Norovirus Infection,"Diarrhea, Muscle aches, Nausea, Loss of appetite, General discomfort, Fever, Irritability"
Roseola,"High fever, Sore throat, Headache, Loss of appetite, Abdominal pain, Body aches, Feverish"
Roseola,"Irritability, Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Loss of appetite, Abdominal pain"
Roseola,"High fever, Runny nose, Rash, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Joint pain"
Norovirus Infection,"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Dehydration, Body aches, General discomfort, Irritability"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Fever"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Bloody stools, Stomach cramps, Body aches, Feverish, Rashes, Chills"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches"
Roseola,"High fever, Rash, Irritability, Headache, Cough, Red eyes, Diarrhea, Feverish"
Scarlet Fever,"Fever, Red rash on the body, Difficulty swallowing, Tender, enlarged neck glands"
Shigellosis (Bacillary Dysentery),"Diarrhea, Nausea, Vomiting, Loss of appetite, Muscle aches, Body aches, Rashes, Chills, Joint pain"
Norovirus Infection,"Diarrhea, Headache, Fatigue, Sweating, Rashes, General discomfort, Irritability"
Roseola,"Runny nose, Fatigue, Swollen lymph nodes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes"
Shigellosis (Bacillary Dysentery),"Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Loss of appetite, Body aches, Feverish, Rashes, Chills, Joint pain"
Roseola,"High fever, Rash, Fatigue, Headache, Red eyes, Diarrhea, Feverish"
Shigellosis (Bacillary Dysentery),"Bloody stools, Stomach cramps, Headache, Dehydration, Body aches, Rashes, Chills"
Norovirus Infection,"Diarrhea, Vomiting, Muscle aches, Fatigue, Abdominal pain, Dehydration, Chills, Body aches, Rashes, General discomfort, Irritability"
Roseola,"Irritability, Fatigue, Cough, Red eyes, Diarrhea, Loss of appetite, Rashes, Chills"
"Hand, Foot, and Mouth Disease","Sores in mouth, Loss of appetite, Irritability, Blisters, Fatigue, Cough, General discomfort"
Norovirus Infection,"Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Chills, Body aches, Rashes, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Loss of appetite, Muscle aches, Feverish, Rashes, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Headache, Body aches, Joint pain"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Fatigue, Muscle aches, Body aches"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Chills, Sweating, Irritability"
Roseola,"High fever, Rash, Fatigue, Swollen lymph nodes, Diarrhea, Abdominal pain, Body aches, Rashes, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Bloody stools, Stomach cramps, Headache, Loss of appetite, Body aches, Rashes, General discomfort, Chills"
Norovirus Infection,"Vomiting, Muscle aches, Abdominal pain, Loss of appetite, Sweating, Body aches, General discomfort, Fever, Irritability"
Roseola,"High fever, Runny nose, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Chills"
Roseola,"Rash, Irritability, Fatigue, Cough, Vomiting, Abdominal pain, Body aches"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Fatigue, General discomfort"
Norovirus Infection,"Diarrhea, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Loss of appetite, General discomfort"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Irritability, Mouth sores, Red spots, Fatigue, Sore muscles, Mild fever, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Bloody stools, Fatigue, Loss of appetite, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Fatigue, Loss of appetite, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Vomiting, Bloody stools, Stomach cramps, Fatigue, Feverish, Rashes, Chills, Joint pain"
Roseola,"High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Body aches, Rashes, Chills"
Roseola,"Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Rashes, Feverish"
Scarlet Fever,"Fever, Red lines in body folds, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Tender, enlarged neck glands, Headache and body aches"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Stomach cramps, Dehydration, Body aches, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Stomach cramps, Headache, Loss of appetite, Muscle aches, Body aches, Feverish"
Shigellosis (Bacillary Dysentery),"Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Feverish, Rashes"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Red spots, Blisters, General discomfort, Mild fever, Difficulty swallowing"
Norovirus Infection,"Diarrhea, Vomiting, Nausea, Fatigue, Abdominal pain, Dehydration, Sweating, Body aches, Rashes, General discomfort"
Norovirus Infection,"Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Chills, Sweating, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Body aches, Feverish, General discomfort"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Chills, Rashes, General discomfort, Irritability"
Roseola,"Runny nose, Irritability, Swollen lymph nodes, Headache, Cough, Diarrhea, Loss of appetite"
Roseola,"High fever, Rash, Cough, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Nausea, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Joint pain"
Roseola,"Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Loss of appetite, Body aches, Rashes, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Bloody stools, Dehydration, Body aches, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Loss of appetite, Feverish, Rashes, Chills"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, General discomfort, Fever"
Norovirus Infection,"Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Rashes, Fever"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Irritability, Mouth sores, Blisters, Cough, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Dehydration, Body aches, Rashes, General discomfort, Chills, Joint pain"
"Hand, Foot, and Mouth Disease","Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Mouth sores, Red spots, Sore muscles, Headache, General discomfort, Mild fever, Difficulty swallowing"
Norovirus Infection,"Diarrhea, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, General discomfort, Fever"
Norovirus Infection,"Vomiting, Muscle aches, Nausea, Headache, Abdominal pain, Loss of appetite, Chills, General discomfort"
Roseola,"Irritability, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Body aches, Rashes, Feverish"
Norovirus Infection,"Low-grade fever, Muscle aches, Nausea, Fatigue, Abdominal pain, Rashes"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, General discomfort"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Nausea, Vomiting, Headache, Muscle aches, Body aches, Feverish, Rashes, Chills, Joint pain"
Norovirus Infection,"Vomiting, Stomach cramps, Nausea, Headache, Loss of appetite, Dehydration, Sweating, Body aches, Rashes, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Chills, Joint pain"
Norovirus Infection,"Stomach cramps, Fatigue, Loss of appetite, Dehydration, Chills"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Fatigue, Headache, Mild fever, Difficulty swallowing"
Roseola,"High fever, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Loss of appetite, Body aches, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort"
Norovirus Infection,"Diarrhea, Vomiting, Muscle aches, Nausea, Dehydration, Chills, General discomfort, Irritability"
Shigellosis (Bacillary Dysentery),"Fever, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, Chills"
Scarlet Fever,"Fever, Strawberry tongue, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Nausea or vomiting, Abdominal pain, Headache and body aches"
Roseola,"High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Rashes, Chills, Feverish"
Scarlet Fever,"Fever, Pale skin around lips, Sore and red throat with patches, Difficulty swallowing, Abdominal pain"
Norovirus Infection,"Vomiting, Abdominal pain, Body aches, Fever"
Shigellosis (Bacillary Dysentery),"Diarrhea, Nausea, Vomiting, Headache, Fatigue, Loss of appetite, Body aches, Feverish, General discomfort, Joint pain"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Fatigue, Loss of appetite, Body aches, General discomfort"
Norovirus Infection,"Stomach cramps, Low-grade fever, Headache, Abdominal pain, Sweating, Body aches, General discomfort, Irritability"
Roseola,"High fever, Runny nose, Fatigue, Sore throat, Red eyes, Diarrhea, Loss of appetite, Body aches, Rashes, Feverish"
Roseola,"High fever, Runny nose, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Body aches, Chills, Feverish"
Norovirus Infection,"Vomiting, Muscle aches, Headache, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Irritability"
Norovirus Infection,"Vomiting, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Dehydration, General discomfort"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Fatigue, Loss of appetite, Body aches, Feverish, Rashes, Chills"
"Hand, Foot, and Mouth Disease","Fever, Rash on hands and feet, Mouth sores, Red spots, Blisters, Fatigue, Cough"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Fever"
"Hand, Foot, and Mouth Disease","Sores in mouth, Rash on hands and feet, Sore throat, Red spots, Headache"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Loss of appetite, Mouth sores, Red spots, Blisters, Fatigue, Cough, Sore muscles, General discomfort, Mild fever"
Roseola,"Runny nose, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Abdominal pain, Body aches"
"Hand, Foot, and Mouth Disease","Sores in mouth, Rash on hands and feet, Sore throat, Mouth sores, Blisters, Cough, Sore muscles, Headache, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Vomiting, Headache, Fatigue, Loss of appetite, Body aches, Rashes, General discomfort, Chills"
Norovirus Infection,"Vomiting, Low-grade fever, Nausea, Fatigue, Sweating, Rashes, Fever"
Norovirus Infection,"Vomiting, Dehydration, Chills, Rashes, General discomfort, Fever"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Chills"
Roseola,"Runny nose, Irritability, Fatigue, Sore throat, Cough, Red eyes, Diarrhea, Abdominal pain, Body aches, Chills, Feverish"
Norovirus Infection,"Low-grade fever, Headache, Fatigue, Abdominal pain, Dehydration, Chills, Body aches, Rashes, General discomfort, Irritability"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Blisters, Fatigue, Sore muscles, General discomfort, Difficulty swallowing"
Roseola,"Runny nose, Swollen lymph nodes, Sore throat, Red eyes, Abdominal pain"
Roseola,"High fever, Fatigue, Sore throat, Headache, Cough, Loss of appetite, Abdominal pain, Body aches"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Fatigue, Dehydration, Muscle aches, General discomfort"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Nausea, Abdominal pain, Dehydration, Chills, Body aches, Rashes, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Diarrhea, Vomiting, Stomach cramps, Headache, Dehydration, Loss of appetite, Body aches, Feverish, Chills, Joint pain"
Roseola,"Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Abdominal pain, Body aches, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Headache, Dehydration, Loss of appetite, Feverish"
Roseola,"Runny nose, Rash, Swollen lymph nodes, Headache, Red eyes, Vomiting, Abdominal pain, Chills, Feverish"
Roseola,"Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Vomiting, Bloody stools, Fatigue, Dehydration, General discomfort, Joint pain"
Shigellosis (Bacillary Dysentery),"Vomiting, Stomach cramps, Rashes, General discomfort, Chills, Joint pain"
Norovirus Infection,"Stomach cramps, Low-grade fever, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Bloody stools, Dehydration, Loss of appetite, Body aches, Feverish, Chills, Joint pain"
Norovirus Infection,"Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Loss of appetite, Chills, Sweating"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Body aches, Feverish, Rashes, Chills"
Fifth Disease (Erythema Infectiosum),"Sore throat, Runny or stuffy nose, Mild fever, Myalgias"
Roseola,"Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Red eyes, Vomiting, Abdominal pain, Chills, Feverish"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Abdominal pain, Loss of appetite, General discomfort"
Roseola,"High fever, Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Cough, Red eyes, Loss of appetite, Rashes, Feverish"
"Hand, Foot, and Mouth Disease","Loss of appetite, Irritability, Fatigue, Headache, Difficulty swallowing"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Loss of appetite, Sore throat, Fatigue, Headache, Mild fever, Difficulty swallowing"
Roseola,"Rash, Swollen lymph nodes, Sore throat, Diarrhea, Vomiting, Rashes"
Roseola,"High fever, Runny nose, Swollen lymph nodes, Sore throat, Headache, Cough, Vomiting, Loss of appetite"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Vomiting, Headache, Fatigue, Dehydration, Loss of appetite, Chills, Joint pain"
Mumps,"Headache, Swollen, painful salivary glands, Fever, Muscle aches, Tiredness, Trouble chewing, Headache, Muscle aches, Loss of appetite"
Roseola,"Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Body aches, Rashes, Feverish"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Red spots, Blisters, Cough, Sore muscles, General discomfort, Difficulty swallowing"
Roseola,"Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Body aches, Feverish"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Mouth sores, Fatigue, Cough, Mild fever"
Roseola,"High fever, Runny nose, Irritability, Fatigue, Sore throat, Headache, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Chills"
Roseola,"Rash, Irritability, Sore throat, Red eyes, Vomiting, Body aches, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Chills"
Norovirus Infection,"Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Sweating, Body aches, Rashes, Fever"
Roseola,"High fever, Runny nose, Rash, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain"
Roseola,"High fever, Runny nose, Irritability, Sore throat, Diarrhea, Loss of appetite, Rashes, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Headache, Fatigue, Loss of appetite, Body aches, Feverish, Rashes, General discomfort, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Stomach cramps, Dehydration"
Roseola,"Runny nose, Rash, Irritability, Cough, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish"
Norovirus Infection,"Diarrhea, Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Sweating, General discomfort, Irritability"
Shigellosis (Bacillary Dysentery),"Bloody stools, Stomach cramps, Fatigue, Muscle aches, Body aches, General discomfort, Joint pain"
Norovirus Infection,"Diarrhea, Muscle aches, Nausea, Fatigue, Abdominal pain, Chills"
Norovirus Infection,"Vomiting, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Dehydration, Chills, Body aches, Rashes, General discomfort, Fever"
Shigellosis (Bacillary Dysentery),"Nausea, Bloody stools, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, Joint pain"
Roseola,"High fever, Runny nose, Rash, Fatigue, Headache, Cough, Abdominal pain, Chills, Feverish"
"Hand, Foot, and Mouth Disease","Loss of appetite, Irritability, Sore throat, Blisters, Fatigue, Sore muscles, General discomfort"
Scarlet Fever,"Swollen glands, Fever, Sore throat, Red rash on the body, Strawberry tongue, Sore and red throat with patches, Difficulty swallowing, Nausea or vomiting, Abdominal pain"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Nausea, Fatigue, Loss of appetite, Body aches, Rashes, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Fatigue, Body aches, Rashes, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Loss of appetite"
Roseola,"High fever, Runny nose, Rash, Sore throat, Headache, Body aches, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Feverish, Chills, Joint pain"
"Hand, Foot, and Mouth Disease","Sores in mouth, Loss of appetite, Sore throat, Mouth sores, Blisters, Sore muscles, General discomfort, Difficulty swallowing"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Cough, Sore muscles, Headache, Mild fever, Difficulty swallowing"
Norovirus Infection,"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Chills, Rashes, General discomfort, Fever, Irritability"
"Hand, Foot, and Mouth Disease","Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Mouth sores, Blisters, Headache, General discomfort"
Roseola,"Runny nose, Rash, Irritability, Fatigue, Sore throat, Cough, Red eyes, Vomiting, Abdominal pain, Body aches, Rashes"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Fatigue, Abdominal pain, Dehydration, Body aches, Rashes, Fever, Irritability"
Roseola,"High fever, Rash, Irritability, Fatigue, Sore throat, Headache, Vomiting, Abdominal pain, Body aches, Rashes"
"Hand, Foot, and Mouth Disease","Sores in mouth, Sore throat, Red spots, Blisters, Cough, Sore muscles, General discomfort, Mild fever"
Norovirus Infection,"Stomach cramps, Nausea, Headache, Dehydration, Chills, Body aches, General discomfort"
Roseola,"High fever, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Vomiting, Abdominal pain, Body aches, Rashes, Chills"
Roseola,"Fatigue, Swollen lymph nodes, Sore throat, Cough, Vomiting, Abdominal pain, Feverish"
Roseola,"Runny nose, Rash, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills"
"Hand, Foot, and Mouth Disease","Fever, Irritability, Sore throat, Red spots, General discomfort"
Norovirus Infection,"Vomiting, Stomach cramps, Muscle aches, Fatigue, Loss of appetite, Sweating, Body aches, Rashes, General discomfort"
"Hand, Foot, and Mouth Disease","Sores in mouth, Sore throat, Red spots, Blisters, Fatigue, Sore muscles, Headache, General discomfort, Difficulty swallowing"
Roseola,"High fever, Runny nose, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Feverish"
Norovirus Infection,"Muscle aches, Headache, Chills, Body aches, Rashes, General discomfort, Fever"
